,country,year,life_expectancy
214,Sudan,1800,31.4
215,Suriname,1800,32.9
217,Swaziland,1800,32.3
218,Sweden,1800,32.16
219,Switzerland,1800,38.0
220,Syria,1800,31.1
221,Taiwan,1800,28.3
222,Tajikistan,1800,24.24
223,Tanzania,1800,32.2
224,Thailand,1800,30.4
225,Timor-Leste,1800,28.95
226,Togo,1800,31.3
228,Tonga,1800,28.2
230,Trinidad and Tobago,1800,32.9
231,Tunisia,1800,28.8
232,Turkey,1800,35.0
233,Turkmenistan,1800,24.0
236,Uganda,1800,25.3
237,Ukraine,1800,36.6
238,United Arab Emirates,1800,30.7
239,United Kingdom,1800,38.65
240,United States,1800,39.41
241,Uruguay,1800,32.9
243,Uzbekistan,1800,26.93
245,Vanuatu,1800,24.3
246,Venezuela,1800,32.2
247,West Bank and Gaza,1800,32.1
249,Western Sahara,1800,34.75
250,Vietnam,1800,32.0
251,Virgin Islands (U.S.),1800,33.4
254,Yemen,1800,23.39
256,Zambia,1800,32.6
257,Zimbabwe,1800,33.7
259,South Sudan,1800,26.67
261,Afghanistan,1801,28.2
263,Albania,1801,35.4
264,Algeria,1801,28.82
267,Angola,1801,26.98
269,Antigua and Barbuda,1801,33.54
270,Argentina,1801,33.2
271,Armenia,1801,34.0
272,Aruba,1801,34.42
273,Australia,1801,34.05
274,Austria,1801,34.4
275,Azerbaijan,1801,29.17
276,Bahamas,1801,35.18
277,Bahrain,1801,30.3
278,Bangladesh,1801,25.5
279,Barbados,1801,32.12
280,Belarus,1801,36.2
281,Belgium,1801,40.01
282,Belize,1801,26.5
283,Benin,1801,31.0
285,Bhutan,1801,28.8
286,Bolivia,1801,33.0
287,Bosnia and Herzegovina,1801,35.1
288,Botswana,1801,33.6
289,Brazil,1801,32.0
291,Brunei,1801,29.2
292,Bulgaria,1801,35.84
293,Burkina Faso,1801,29.2
294,Burundi,1801,31.5
295,Cambodia,1801,35.0
296,Cameroon,1801,28.75
297,Canada,1801,39.0
298,Cape Verde,1801,33.8
300,Central African Republic,1801,30.0
301,Chad,1801,30.9
303,Chile,1801,32.0
304,China,1801,32.0
307,Colombia,1801,32.0
308,Comoros,1801,32.1
309,"Congo, Dem. Rep.",1801,31.6
310,"Congo, Rep.",1801,32.7
312,Costa Rica,1801,30.21
313,Cote d'Ivoire,1801,31.16
314,Croatia,1801,36.1
315,Cuba,1801,32.33
316,Cyprus,1801,38.5
317,Czech Republic,1801,34.95
319,Denmark,1801,38.51
320,Djibouti,1801,29.9
322,Dominican Republic,1801,29.9
324,Ecuador,1801,32.9
325,Egypt,1801,33.0
326,El Salvador,1801,28.7
327,Equatorial Guinea,1801,29.8
328,Eritrea,1801,30.2
330,Estonia,1801,35.7
331,Ethiopia,1801,29.7
334,Fiji,1801,26.1
335,Finland,1801,40.3
336,France,1801,36.37
337,French Guiana,1801,30.5
338,French Polynesia,1801,25.6
339,Gabon,1801,30.6
340,Gambia,1801,28.8
341,Georgia,1801,31.87
342,Germany,1801,38.37
343,Ghana,1801,28.0
345,Greece,1801,36.6
346,Greenland,1801,33.87
347,Grenada,1801,31.4
348,Guadeloupe,1801,27.66
349,Guam,1801,27.5
350,Guatemala,1801,25.8
352,Guinea,1801,29.51
353,Guinea-Bissau,1801,32.0
354,Guyana,1801,31.12
355,Haiti,1801,29.0
357,Honduras,1801,33.9
358,"Hong Kong, China",1801,34.9
359,Hungary,1801,36.0
360,Iceland,1801,33.88
361,India,1801,25.44
362,Indonesia,1801,30.0
363,Iran,1801,25.6
364,Iraq,1801,31.2
365,Ireland,1801,38.3
367,Israel,1801,32.0
368,Italy,1801,29.69
369,Jamaica,1801,34.2
370,Japan,1801,36.4
372,Jordan,1801,31.7
373,Kazakhstan,1801,26.2
374,Kenya,1801,25.5
375,Kiribati,1801,24.9
376,North Korea,1801,26.0
377,South Korea,1801,25.8
380,Kuwait,1801,26.0
381,Kyrgyz Republic,1801,23.94
382,Lao,1801,31.9
383,Latvia,1801,33.0
384,Lebanon,1801,29.7
385,Lesotho,1801,32.8
386,Liberia,1801,31.1
387,Libya,1801,33.1
389,Lithuania,1801,28.9
390,Luxembourg,1801,36.9
391,"Macao, China",1801,34.7
392,"Macedonia, FYR",1801,36.1
393,Madagascar,1801,30.5
394,Malawi,1801,30.3
395,Malaysia,1801,30.6
396,Maldives,1801,32.65
397,Mali,1801,26.41
398,Malta,1801,28.7
400,Martinique,1801,30.15
401,Mauritania,1801,32.0
402,Mauritius,1801,28.7
403,Mayotte,1801,32.5
404,Mexico,1801,26.9
405,"Micronesia, Fed. Sts.",1801,26.7
406,Moldova,1801,33.15
408,Mongolia,1801,31.8
409,Montenegro,1801,35.4
411,Morocco,1801,33.1
412,Mozambique,1801,30.28
413,Myanmar,1801,30.8
414,Namibia,1801,32.4
416,Nepal,1801,32.8
417,Netherlands,1801,39.86
418,Netherlands Antilles,1801,34.41
419,New Caledonia,1801,26.0
420,New Zealand,1801,34.05
422,Nicaragua,1801,25.4
423,Niger,1801,30.8
424,Nigeria,1801,30.4
429,Norway,1801,35.82
430,Oman,1801,32.3
431,Pakistan,1801,25.8
433,Panama,1801,32.9
434,Papua New Guinea,1801,31.5
435,Paraguay,1801,35.5
436,Peru,1801,35.7
437,Philippines,1801,30.9
439,Poland,1801,35.9
440,Portugal,1801,35.6
441,Puerto Rico,1801,30.43
442,Qatar,1801,30.8
443,Reunion,1801,33.0
444,Romania,1801,35.7
445,Russia,1801,29.57
446,Rwanda,1801,25.0
450,St. Lucia,1801,28.01
452,St. Vincent and the Grenadines,1801,25.99
454,Samoa,1801,25.4
456,Sao Tome and Principe,1801,31.0
457,Saudi Arabia,1801,32.1
458,Senegal,1801,25.2
459,Serbia,1801,35.5
462,Seychelles,1801,37.0
463,Sierra Leone,1801,25.1
464,Singapore,1801,29.1
465,Slovak Republic,1801,36.4
466,Slovenia,1801,36.6
467,Solomon Islands,1801,25.1
468,Somalia,1801,29.4
470,South Africa,1801,33.5
472,Spain,1801,29.5
473,Sri Lanka,1801,32.6
474,Sudan,1801,31.4
475,Suriname,1801,32.9
477,Swaziland,1801,32.3
478,Sweden,1801,36.9
479,Switzerland,1801,38.0
480,Syria,1801,31.1
481,Taiwan,1801,28.3
482,Tajikistan,1801,24.24
483,Tanzania,1801,32.2
484,Thailand,1801,30.4
485,Timor-Leste,1801,28.95
486,Togo,1801,31.3
488,Tonga,1801,28.2
490,Trinidad and Tobago,1801,32.9
491,Tunisia,1801,28.8
492,Turkey,1801,35.0
493,Turkmenistan,1801,24.0
496,Uganda,1801,25.3
497,Ukraine,1801,36.6
498,United Arab Emirates,1801,30.7
499,United Kingdom,1801,37.35
500,United States,1801,39.41
501,Uruguay,1801,32.9
503,Uzbekistan,1801,26.93
505,Vanuatu,1801,24.3
506,Venezuela,1801,32.2
507,West Bank and Gaza,1801,32.1
509,Western Sahara,1801,34.75
510,Vietnam,1801,32.0
511,Virgin Islands (U.S.),1801,33.4
514,Yemen,1801,23.39
516,Zambia,1801,32.6
517,Zimbabwe,1801,33.7
519,South Sudan,1801,26.67
521,Afghanistan,1802,28.19
523,Albania,1802,35.4
524,Algeria,1802,28.82
527,Angola,1802,26.98
529,Antigua and Barbuda,1802,33.54
530,Argentina,1802,33.2
531,Armenia,1802,34.0
532,Aruba,1802,34.42
533,Australia,1802,34.05
534,Austria,1802,34.4
535,Azerbaijan,1802,29.17
536,Bahamas,1802,35.18
537,Bahrain,1802,30.3
538,Bangladesh,1802,25.5
539,Barbados,1802,32.12
540,Belarus,1802,36.2
541,Belgium,1802,40.02
542,Belize,1802,26.5
543,Benin,1802,31.0
545,Bhutan,1802,28.8
546,Bolivia,1802,33.0
547,Bosnia and Herzegovina,1802,35.1
548,Botswana,1802,33.6
549,Brazil,1802,32.0
551,Brunei,1802,29.2
552,Bulgaria,1802,35.89
553,Burkina Faso,1802,29.2
554,Burundi,1802,31.5
555,Cambodia,1802,35.0
556,Cameroon,1802,28.75
557,Canada,1802,39.0
558,Cape Verde,1802,33.8
560,Central African Republic,1802,30.0
561,Chad,1802,30.9
563,Chile,1802,32.0
564,China,1802,32.0
567,Colombia,1802,32.0
568,Comoros,1802,32.1
569,"Congo, Dem. Rep.",1802,31.6
570,"Congo, Rep.",1802,32.7
572,Costa Rica,1802,30.21
573,Cote d'Ivoire,1802,31.16
574,Croatia,1802,36.1
575,Cuba,1802,32.45
576,Cyprus,1802,38.5
577,Czech Republic,1802,34.95
579,Denmark,1802,44.37
580,Djibouti,1802,29.9
582,Dominican Republic,1802,29.9
584,Ecuador,1802,32.9
585,Egypt,1802,33.0
586,El Salvador,1802,28.7
587,Equatorial Guinea,1802,29.8
588,Eritrea,1802,30.2
590,Estonia,1802,35.26
591,Ethiopia,1802,29.7
594,Fiji,1802,26.1
595,Finland,1802,39.2
596,France,1802,34.38
597,French Guiana,1802,30.5
598,French Polynesia,1802,25.6
599,Gabon,1802,30.6
600,Gambia,1802,28.8
601,Georgia,1802,31.87
602,Germany,1802,38.37
603,Ghana,1802,28.0
605,Greece,1802,36.6
606,Greenland,1802,33.87
607,Grenada,1802,31.4
608,Guadeloupe,1802,27.66
609,Guam,1802,27.5
610,Guatemala,1802,25.8
612,Guinea,1802,29.52
613,Guinea-Bissau,1802,32.0
614,Guyana,1802,31.12
615,Haiti,1802,29.0
617,Honduras,1802,33.9
618,"Hong Kong, China",1802,34.9
619,Hungary,1802,36.0
620,Iceland,1802,27.62
621,India,1802,25.0
622,Indonesia,1802,30.0
623,Iran,1802,25.6
624,Iraq,1802,31.2
625,Ireland,1802,38.3
627,Israel,1802,32.0
628,Italy,1802,29.69
629,Jamaica,1802,34.2
630,Japan,1802,36.4
632,Jordan,1802,31.7
633,Kazakhstan,1802,26.2
634,Kenya,1802,25.5
635,Kiribati,1802,24.9
636,North Korea,1802,26.0
637,South Korea,1802,25.8
640,Kuwait,1802,26.0
641,Kyrgyz Republic,1802,23.94
642,Lao,1802,31.9
643,Latvia,1802,33.0
644,Lebanon,1802,29.7
645,Lesotho,1802,32.8
646,Liberia,1802,31.1
647,Libya,1802,33.1
649,Lithuania,1802,28.9
650,Luxembourg,1802,36.9
651,"Macao, China",1802,34.7
652,"Macedonia, FYR",1802,36.1
653,Madagascar,1802,30.5
654,Malawi,1802,30.3
655,Malaysia,1802,30.6
656,Maldives,1802,32.65
657,Mali,1802,26.41
658,Malta,1802,28.7
660,Martinique,1802,30.15
661,Mauritania,1802,32.0
662,Mauritius,1802,28.7
663,Mayotte,1802,32.5
664,Mexico,1802,26.9
665,"Micronesia, Fed. Sts.",1802,26.7
666,Moldova,1802,33.15
668,Mongolia,1802,31.8
669,Montenegro,1802,35.4
671,Morocco,1802,33.1
672,Mozambique,1802,30.28
673,Myanmar,1802,30.8
674,Namibia,1802,32.4
676,Nepal,1802,32.8
677,Netherlands,1802,39.86
678,Netherlands Antilles,1802,34.41
679,New Caledonia,1802,26.0
680,New Zealand,1802,34.05
682,Nicaragua,1802,25.4
683,Niger,1802,30.8
684,Nigeria,1802,30.4
689,Norway,1802,38.37
690,Oman,1802,32.3
691,Pakistan,1802,25.8
693,Panama,1802,32.9
694,Papua New Guinea,1802,31.5
695,Paraguay,1802,35.5
696,Peru,1802,35.7
697,Philippines,1802,30.9
699,Poland,1802,35.9
700,Portugal,1802,35.6
701,Puerto Rico,1802,30.43
702,Qatar,1802,30.8
703,Reunion,1802,33.0
704,Romania,1802,35.7
705,Russia,1802,29.57
706,Rwanda,1802,25.0
710,St. Lucia,1802,28.01
712,St. Vincent and the Grenadines,1802,25.99
714,Samoa,1802,25.4
716,Sao Tome and Principe,1802,31.0
717,Saudi Arabia,1802,32.1
718,Senegal,1802,25.2
719,Serbia,1802,35.5
722,Seychelles,1802,37.0
723,Sierra Leone,1802,25.1
724,Singapore,1802,29.1
725,Slovak Republic,1802,36.4
726,Slovenia,1802,36.6
727,Solomon Islands,1802,25.1
728,Somalia,1802,29.4
730,South Africa,1802,33.5
732,Spain,1802,29.5
733,Sri Lanka,1802,32.6
734,Sudan,1802,31.4
735,Suriname,1802,32.9
737,Swaziland,1802,32.3
738,Sweden,1802,40.2
739,Switzerland,1802,38.0
740,Syria,1802,31.1
741,Taiwan,1802,28.3
742,Tajikistan,1802,24.24
743,Tanzania,1802,32.2
744,Thailand,1802,30.4
745,Timor-Leste,1802,28.95
746,Togo,1802,31.3
748,Tonga,1802,28.2
750,Trinidad and Tobago,1802,32.9
751,Tunisia,1802,28.8
752,Turkey,1802,35.0
753,Turkmenistan,1802,24.0
756,Uganda,1802,25.3
757,Ukraine,1802,36.6
758,United Arab Emirates,1802,30.7
759,United Kingdom,1802,38.62
760,United States,1802,39.41
761,Uruguay,1802,32.9
763,Uzbekistan,1802,26.93
765,Vanuatu,1802,24.3
766,Venezuela,1802,32.2
767,West Bank and Gaza,1802,32.1
769,Western Sahara,1802,34.75
770,Vietnam,1802,32.0
771,Virgin Islands (U.S.),1802,33.4
774,Yemen,1802,23.39
776,Zambia,1802,32.6
777,Zimbabwe,1802,33.7
779,South Sudan,1802,26.67
781,Afghanistan,1803,28.18
783,Albania,1803,35.4
784,Algeria,1803,28.82
787,Angola,1803,26.98
789,Antigua and Barbuda,1803,33.54
790,Argentina,1803,33.2
791,Armenia,1803,34.0
792,Aruba,1803,34.42
793,Australia,1803,34.05
794,Austria,1803,34.4
795,Azerbaijan,1803,29.17
796,Bahamas,1803,35.18
797,Bahrain,1803,30.3
798,Bangladesh,1803,25.5
799,Barbados,1803,32.12
800,Belarus,1803,36.2
801,Belgium,1803,40.02
802,Belize,1803,26.5
803,Benin,1803,31.0
805,Bhutan,1803,28.8
806,Bolivia,1803,33.0
807,Bosnia and Herzegovina,1803,35.1
808,Botswana,1803,33.6
809,Brazil,1803,32.0
811,Brunei,1803,29.2
812,Bulgaria,1803,35.93
813,Burkina Faso,1803,29.2
814,Burundi,1803,31.5
815,Cambodia,1803,35.0
816,Cameroon,1803,28.75
817,Canada,1803,39.0
818,Cape Verde,1803,33.8
820,Central African Republic,1803,30.0
821,Chad,1803,30.9
823,Chile,1803,32.0
824,China,1803,32.0
827,Colombia,1803,32.0
828,Comoros,1803,32.1
829,"Congo, Dem. Rep.",1803,31.6
830,"Congo, Rep.",1803,32.7
832,Costa Rica,1803,30.21
833,Cote d'Ivoire,1803,31.16
834,Croatia,1803,36.1
835,Cuba,1803,32.58
836,Cyprus,1803,38.5
837,Czech Republic,1803,34.95
839,Denmark,1803,44.84
840,Djibouti,1803,29.9
842,Dominican Republic,1803,29.9
844,Ecuador,1803,32.9
845,Egypt,1803,33.0
846,El Salvador,1803,28.7
847,Equatorial Guinea,1803,29.8
848,Eritrea,1803,30.2
850,Estonia,1803,34.82
851,Ethiopia,1803,29.7
854,Fiji,1803,26.1
855,Finland,1803,28.53
856,France,1803,30.64
857,French Guiana,1803,30.5
858,French Polynesia,1803,25.6
859,Gabon,1803,30.6
860,Gambia,1803,28.8
861,Georgia,1803,31.87
862,Germany,1803,38.37
863,Ghana,1803,28.0
865,Greece,1803,36.6
866,Greenland,1803,33.87
867,Grenada,1803,31.4
868,Guadeloupe,1803,27.66
869,Guam,1803,27.5
870,Guatemala,1803,25.8
872,Guinea,1803,29.53
873,Guinea-Bissau,1803,32.0
874,Guyana,1803,31.12
875,Haiti,1803,29.0
877,Honduras,1803,33.9
878,"Hong Kong, China",1803,34.9
879,Hungary,1803,36.0
880,Iceland,1803,19.6
881,India,1803,24.0
882,Indonesia,1803,30.0
883,Iran,1803,25.6
884,Iraq,1803,31.2
885,Ireland,1803,38.3
887,Israel,1803,32.0
888,Italy,1803,29.69
889,Jamaica,1803,34.2
890,Japan,1803,36.4
892,Jordan,1803,31.7
893,Kazakhstan,1803,26.2
894,Kenya,1803,25.5
895,Kiribati,1803,24.9
896,North Korea,1803,26.0
897,South Korea,1803,25.8
900,Kuwait,1803,26.0
901,Kyrgyz Republic,1803,23.94
902,Lao,1803,31.9
903,Latvia,1803,33.0
904,Lebanon,1803,29.7
905,Lesotho,1803,32.8
906,Liberia,1803,31.1
907,Libya,1803,33.1
909,Lithuania,1803,28.9
910,Luxembourg,1803,36.9
911,"Macao, China",1803,34.7
912,"Macedonia, FYR",1803,36.1
913,Madagascar,1803,30.5
914,Malawi,1803,30.3
915,Malaysia,1803,30.6
916,Maldives,1803,32.65
917,Mali,1803,26.41
918,Malta,1803,28.7
920,Martinique,1803,30.15
921,Mauritania,1803,32.0
922,Mauritius,1803,28.7
923,Mayotte,1803,32.5
924,Mexico,1803,26.9
925,"Micronesia, Fed. Sts.",1803,26.7
926,Moldova,1803,33.15
928,Mongolia,1803,31.8
929,Montenegro,1803,35.4
931,Morocco,1803,33.1
932,Mozambique,1803,30.28
933,Myanmar,1803,30.8
934,Namibia,1803,32.4
936,Nepal,1803,32.8
937,Netherlands,1803,39.86
938,Netherlands Antilles,1803,34.41
939,New Caledonia,1803,26.0
940,New Zealand,1803,34.05
942,Nicaragua,1803,25.4
943,Niger,1803,30.8
944,Nigeria,1803,30.4
949,Norway,1803,38.72
950,Oman,1803,32.3
951,Pakistan,1803,25.8
953,Panama,1803,32.9
954,Papua New Guinea,1803,31.5
955,Paraguay,1803,35.5
956,Peru,1803,35.7
957,Philippines,1803,30.9
959,Poland,1803,35.9
960,Portugal,1803,35.6
961,Puerto Rico,1803,30.43
962,Qatar,1803,30.8
963,Reunion,1803,33.0
964,Romania,1803,35.7
965,Russia,1803,29.57
966,Rwanda,1803,31.8
970,St. Lucia,1803,28.01
972,St. Vincent and the Grenadines,1803,25.99
974,Samoa,1803,25.4
976,Sao Tome and Principe,1803,31.0
977,Saudi Arabia,1803,32.1
978,Senegal,1803,25.2
979,Serbia,1803,35.5
982,Seychelles,1803,37.0
983,Sierra Leone,1803,25.1
984,Singapore,1803,29.1
985,Slovak Republic,1803,36.4
986,Slovenia,1803,36.6
987,Solomon Islands,1803,25.1
988,Somalia,1803,29.4
990,South Africa,1803,33.5
992,Spain,1803,29.5
993,Sri Lanka,1803,32.6
994,Sudan,1803,31.4
995,Suriname,1803,32.9
997,Swaziland,1803,32.3
998,Sweden,1803,40.28
999,Switzerland,1803,38.0
1000,Syria,1803,31.1
1001,Taiwan,1803,28.3
1002,Tajikistan,1803,24.24
1003,Tanzania,1803,32.2
1004,Thailand,1803,30.4
1005,Timor-Leste,1803,28.95
1006,Togo,1803,31.3
1008,Tonga,1803,28.2
1010,Trinidad and Tobago,1803,32.9
1011,Tunisia,1803,28.8
1012,Turkey,1803,35.0
1013,Turkmenistan,1803,24.0
1016,Uganda,1803,25.3
1017,Ukraine,1803,36.6
1018,United Arab Emirates,1803,30.7
1019,United Kingdom,1803,37.32
1020,United States,1803,39.41
1021,Uruguay,1803,32.9
1023,Uzbekistan,1803,26.93
1025,Vanuatu,1803,24.3
1026,Venezuela,1803,32.2
1027,West Bank and Gaza,1803,32.1
1029,Western Sahara,1803,34.75
1030,Vietnam,1803,32.0
1031,Virgin Islands (U.S.),1803,33.4
1034,Yemen,1803,23.39
1036,Zambia,1803,32.6
1037,Zimbabwe,1803,33.7
1039,South Sudan,1803,26.67
1041,Afghanistan,1804,28.17
1043,Albania,1804,35.4
1044,Algeria,1804,28.82
1047,Angola,1804,26.98
1049,Antigua and Barbuda,1804,33.54
1050,Argentina,1804,33.2
1051,Armenia,1804,34.0
1052,Aruba,1804,34.42
1053,Australia,1804,34.05
1054,Austria,1804,34.4
1055,Azerbaijan,1804,29.17
1056,Bahamas,1804,35.18
1057,Bahrain,1804,30.3
1058,Bangladesh,1804,25.5
1059,Barbados,1804,32.12
1060,Belarus,1804,36.2
1061,Belgium,1804,40.03
1062,Belize,1804,26.5
1063,Benin,1804,31.0
1065,Bhutan,1804,28.8
1066,Bolivia,1804,33.0
1067,Bosnia and Herzegovina,1804,35.1
1068,Botswana,1804,33.6
1069,Brazil,1804,32.0
1071,Brunei,1804,29.2
1072,Bulgaria,1804,35.98
1073,Burkina Faso,1804,29.2
1074,Burundi,1804,31.5
1075,Cambodia,1804,35.0
1076,Cameroon,1804,28.75
1077,Canada,1804,39.01
1078,Cape Verde,1804,33.8
1080,Central African Republic,1804,30.0
1081,Chad,1804,30.9
1083,Chile,1804,32.0
1084,China,1804,32.0
1087,Colombia,1804,32.0
1088,Comoros,1804,32.1
1089,"Congo, Dem. Rep.",1804,31.6
1090,"Congo, Rep.",1804,32.7
1092,Costa Rica,1804,30.21
1093,Cote d'Ivoire,1804,31.16
1094,Croatia,1804,36.1
1095,Cuba,1804,32.7
1096,Cyprus,1804,38.5
1097,Czech Republic,1804,34.95
1099,Denmark,1804,42.83
1100,Djibouti,1804,29.9
1102,Dominican Republic,1804,29.9
1104,Ecuador,1804,32.9
1105,Egypt,1804,33.0
1106,El Salvador,1804,28.7
1107,Equatorial Guinea,1804,29.8
1108,Eritrea,1804,30.2
1110,Estonia,1804,34.37
1111,Ethiopia,1804,29.7
1114,Fiji,1804,26.1
1115,Finland,1804,35.91
1116,France,1804,29.38
1117,French Guiana,1804,30.5
1118,French Polynesia,1804,25.6
1119,Gabon,1804,30.6
1120,Gambia,1804,28.8
1121,Georgia,1804,31.87
1122,Germany,1804,38.37
1123,Ghana,1804,28.0
1125,Greece,1804,36.6
1126,Greenland,1804,33.87
1127,Grenada,1804,31.4
1128,Guadeloupe,1804,27.66
1129,Guam,1804,27.5
1130,Guatemala,1804,25.8
1132,Guinea,1804,29.54
1133,Guinea-Bissau,1804,32.0
1134,Guyana,1804,31.12
1135,Haiti,1804,29.0
1137,Honduras,1804,33.9
1138,"Hong Kong, China",1804,34.9
1139,Hungary,1804,36.0
1140,Iceland,1804,24.76
1141,India,1804,23.5
1142,Indonesia,1804,30.0
1143,Iran,1804,25.6
1144,Iraq,1804,31.2
1145,Ireland,1804,38.3
1147,Israel,1804,32.0
1148,Italy,1804,29.69
1149,Jamaica,1804,34.2
1150,Japan,1804,36.4
1152,Jordan,1804,31.7
1153,Kazakhstan,1804,26.2
1154,Kenya,1804,25.5
1155,Kiribati,1804,24.9
1156,North Korea,1804,26.0
1157,South Korea,1804,25.8
1160,Kuwait,1804,26.0
1161,Kyrgyz Republic,1804,23.94
1162,Lao,1804,31.9
1163,Latvia,1804,33.0
1164,Lebanon,1804,29.7
1165,Lesotho,1804,32.8
1166,Liberia,1804,31.1
1167,Libya,1804,33.1
1169,Lithuania,1804,28.9
1170,Luxembourg,1804,36.9
1171,"Macao, China",1804,34.7
1172,"Macedonia, FYR",1804,36.1
1173,Madagascar,1804,30.5
1174,Malawi,1804,30.3
1175,Malaysia,1804,30.6
1176,Maldives,1804,32.65
1177,Mali,1804,26.41
1178,Malta,1804,28.7
1180,Martinique,1804,30.15
1181,Mauritania,1804,32.0
1182,Mauritius,1804,28.7
1183,Mayotte,1804,32.5
1184,Mexico,1804,26.9
